snapshot,L03_MLTD_fraction,L04_MLTD_fraction,L05_MLTD_fraction,L06_MLTD_fraction,L07_MLTD_fraction,L08_MLTD_fraction,L09_MLTD_fraction,L10_MLTD_fraction
3,0.12195121951219512,,,,,,,
4,0.1794871794871795,0.14634146341463414,,,,,,
5,0.23684210526315788,0.225,0.11627906976744186,,,,,
6,0.24324324324324326,0.23076923076923078,0.16666666666666666,0.07692307692307693,,,,
7,0.24324324324324326,0.2894736842105263,0.1951219512195122,0.12,0.10416666666666667,,,
8,0.2702702702702703,0.2972972972972973,0.23076923076923078,0.2222222222222222,0.15217391304347827,0.13953488372093023,,
9,0.3055555555555556,0.2972972972972973,0.2894736842105263,0.25,0.17777777777777778,0.1951219512195122,0.07407407407407407,
10,0.3142857142857143,0.37142857142857144,0.2972972972972973,0.25,0.18181818181818182,0.2564102564102564,0.11538461538461539,0.08
11,0.35294117647058826,0.37142857142857144,0.3055555555555556,0.25,0.20454545454545456,0.2564102564102564,0.11538461538461539,0.09803921568627451
12,0.3939393939393939,0.4117647058823529,0.3157894736842105,0.25,0.20930232558139536,0.2564102564102564,0.11538461538461539,0.12
13,0.3939393939393939,0.42424242424242425,0.37142857142857144,0.25,0.23809523809523808,0.2564102564102564,0.13725490196078433,0.12
14,0.3939393939393939,0.48484848484848486,0.37142857142857144,0.25,0.23809523809523808,0.2564102564102564,0.16,0.14583333333333334
15,0.5333333333333333,0.5,0.4117647058823529,0.25,0.23809523809523808,0.2564102564102564,0.16,0.14583333333333334
16,0.5333333333333333,0.5483870967741935,0.4117647058823529,0.25,0.2682926829268293,0.2564102564102564,0.16,0.14583333333333334
17,0.5333333333333333,0.5483870967741935,0.45454545454545453,0.2727272727272727,0.2682926829268293,0.2564102564102564,0.16,0.14893617021276595
18,0.5333333333333333,0.5483870967741935,0.45454545454545453,0.2727272727272727,0.2682926829268293,0.2564102564102564,0.16,0.14893617021276595
19,0.5333333333333333,0.5483870967741935,0.45454545454545453,0.2727272727272727,0.2682926829268293,0.2564102564102564,0.16,0.14893617021276595
20,0.5333333333333333,0.5483870967741935,0.45454545454545453,0.2727272727272727,0.2682926829268293,0.2564102564102564,0.16,0.14893617021276595
