snapshot,L03_MLTD_fraction,L04_MLTD_fraction,L05_MLTD_fraction,L06_MLTD_fraction,L07_MLTD_fraction,L08_MLTD_fraction,L09_MLTD_fraction,L10_MLTD_fraction
3,0.05660377358490566,,,,,,,
4,0.0784313725490196,0.06521739130434782,,,,,,
5,0.0784313725490196,0.0851063829787234,0.0625,,,,,
6,0.0784313725490196,0.08888888888888889,0.0625,0.041666666666666664,,,,
7,0.0784313725490196,0.08888888888888889,0.0625,0.06,0.06,,,
8,0.0784313725490196,0.08888888888888889,0.06382978723404255,0.07692307692307693,0.06,0.057692307692307696,,
9,0.0784313725490196,0.08888888888888889,0.06382978723404255,0.07692307692307693,0.06,0.06,0.04081632653061224,
10,0.0784313725490196,0.08888888888888889,0.06382978723404255,0.07692307692307693,0.06,0.06,0.061224489795918366,0.04081632653061224
11,0.0784313725490196,0.08888888888888889,0.0851063829787234,0.07692307692307693,0.06,0.06,0.061224489795918366,0.061224489795918366
12,0.0784313725490196,0.08888888888888889,0.0851063829787234,0.07692307692307693,0.08,0.08,0.061224489795918366,0.061224489795918366
13,0.0784313725490196,0.08888888888888889,0.0851063829787234,0.07692307692307693,0.08,0.08,0.061224489795918366,0.061224489795918366
14,0.0784313725490196,0.10638297872340426,0.0851063829787234,0.07692307692307693,0.08,0.08,0.061224489795918366,0.061224489795918366
15,0.0784313725490196,0.10638297872340426,0.0851063829787234,0.07692307692307693,0.08,0.08,0.061224489795918366,0.061224489795918366
16,0.0784313725490196,0.09090909090909091,0.0851063829787234,0.07692307692307693,0.08,0.08,0.061224489795918366,0.061224489795918366
17,0.0784313725490196,0.09090909090909091,0.0851063829787234,0.07692307692307693,0.08,0.09615384615384616,0.061224489795918366,0.061224489795918366
18,0.0784313725490196,0.09090909090909091,0.0851063829787234,0.07692307692307693,0.08,0.09615384615384616,0.061224489795918366,0.061224489795918366
19,0.09803921568627451,0.09090909090909091,0.0851063829787234,0.07692307692307693,0.08,0.09615384615384616,0.061224489795918366,0.0625
20,0.09803921568627451,0.09090909090909091,0.0851063829787234,0.07692307692307693,0.08,0.09615384615384616,0.061224489795918366,0.0625
21,0.09803921568627451,0.09090909090909091,0.0851063829787234,0.07692307692307693,0.08,0.09615384615384616,0.08163265306122448,0.0625
22,0.09803921568627451,0.1111111111111111,0.0851063829787234,0.07692307692307693,0.08,0.09615384615384616,0.08163265306122448,0.0625
23,0.09803921568627451,0.1111111111111111,0.0851063829787234,0.07692307692307693,0.08,0.09615384615384616,0.08163265306122448,0.08
24,0.09803921568627451,0.11363636363636363,0.0851063829787234,0.08,0.08,0.09615384615384616,0.08163265306122448,0.08
25,0.09803921568627451,0.11363636363636363,0.0851063829787234,0.08,0.08,0.09615384615384616,0.08163265306122448,0.08
26,0.09803921568627451,0.11363636363636363,0.10416666666666667,0.08,0.08928571428571429,0.09615384615384616,0.08163265306122448,0.08
27,0.09803921568627451,0.11363636363636363,0.10416666666666667,0.08,0.09803921568627451,0.09615384615384616,0.08163265306122448,0.08
28,0.1,0.11363636363636363,0.10416666666666667,0.08,0.09803921568627451,0.09615384615384616,0.08163265306122448,0.08
29,0.1,0.11363636363636363,0.10416666666666667,0.08,0.09803921568627451,0.09615384615384616,0.08333333333333333,0.08
30,0.1,0.11363636363636363,0.10416666666666667,0.08163265306122448,0.09803921568627451,0.09615384615384616,0.08333333333333333,0.08163265306122448
